country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","26-02-2026 19:00:00",25.599486,85.113666,OZONE,6,33,30
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB","26-02-2026 19:00:00",22.118125,83.140608,NH3,NA,NA,NA
India,Chhattisgarh,Korba,"Rampur, Korba - CECB","26-02-2026 19:00:00",22.368195,82.746431,CO,8,42,13
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB","26-02-2026 19:00:00",22.348441,82.549611,NH3,NA,NA,NA
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB","26-02-2026 19:00:00",22.348441,82.549611,CO,10,12,11
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB","26-02-2026 19:00:00",22.1910172,83.5197009,PM2.5,NA,NA,NA
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB","26-02-2026 19:00:00",21.194815,81.314770,PM2.5,15,31,24
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB","26-02-2026 19:00:00",21.194815,81.314770,CO,22,46,31
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant","26-02-2026 19:00:00",21.185571,81.343175,PM2.5,11,72,34
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant","26-02-2026 19:00:00",21.185571,81.343175,SO2,7,10,8
India,Bihar,Patna,"Samanpura, Patna - BSPCB","26-02-2026 19:00:00",25.596727,85.085624,SO2,2,3,3
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB","26-02-2026 19:00:00",25.892357,86.590325,NO2,6,8,7
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB","26-02-2026 19:00:00",25.892357,86.590325,CO,37,44,40
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB","26-02-2026 19:00:00",21.258815,81.578979,PM10,23,118,76
India,Delhi,Delhi,"Patparganj, Delhi - DPCC","26-02-2026 19:00:00",28.623763,77.287209,NO2,21,129,77
India,Delhi,Delhi,"Patparganj, Delhi - DPCC","26-02-2026 19:00:00",28.623763,77.287209,CO,30,127,39
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC","26-02-2026 19:00:00",28.674045,77.131023,PM10,115,285,175
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC","26-02-2026 19:00:00",28.674045,77.131023,OZONE,2,55,47
India,Delhi,Delhi,"Pusa, Delhi - DPCC","26-02-2026 19:00:00",28.639652,77.146275,PM2.5,80,318,212
India,Delhi,Delhi,"Pusa, Delhi - DPCC","26-02-2026 19:00:00",28.639652,77.146275,PM10,134,328,190
India,Delhi,Delhi,"Pusa, Delhi - DPCC","26-02-2026 19:00:00",28.639652,77.146275,SO2,5,17,11
India,Delhi,Delhi,"Pusa, Delhi - IMD","26-02-2026 19:00:00",28.636110,77.173332,PM2.5,39,226,132
India,Delhi,Delhi,"Pusa, Delhi - IMD","26-02-2026 19:00:00",28.636110,77.173332,OZONE,22,96,55
India,Delhi,Delhi,"R K Puram, Delhi - DPCC","26-02-2026 19:00:00",28.563262,77.186937,PM10,95,277,170
India,Delhi,Delhi,"R K Puram, Delhi - DPCC","26-02-2026 19:00:00",28.563262,77.186937,NH3,6,9,8
India,Delhi,Delhi,"Rohini, Delhi - DPCC","26-02-2026 19:00:00",28.732528,77.119920,PM10,119,428,230
India,Delhi,Delhi,"Rohini, Delhi - DPCC","26-02-2026 19:00:00",28.732528,77.119920,CO,16,92,22
India,Delhi,Delhi,"Shadipur, Delhi - CPCB","26-02-2026 19:00:00",28.6514781,77.1473105,PM10,101,459,184
India,Delhi,Delhi,"Shadipur, Delhi - CPCB","26-02-2026 19:00:00",28.6514781,77.1473105,OZONE,8,43,37
India,Delhi,Delhi,"Sirifort, Delhi - CPCB","26-02-2026 19:00:00",28.5504249,77.2159377,CO,8,92,16
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC","26-02-2026 19:00:00",28.531346,77.190156,PM2.5,33,200,118
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC","26-02-2026 19:00:00",28.531346,77.190156,PM10,66,199,123
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC","26-02-2026 19:00:00",28.531346,77.190156,SO2,8,13,11
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC","26-02-2026 19:00:00",28.531346,77.190156,CO,20,101,25
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC","26-02-2026 19:00:00",28.672342,77.315260,PM2.5,46,481,229
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC","26-02-2026 19:00:00",28.672342,77.315260,NO2,22,115,61
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC","26-02-2026 19:00:00",28.672342,77.315260,SO2,12,31,18
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC","26-02-2026 19:00:00",28.672342,77.315260,CO,46,106,53
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","26-02-2026 19:00:00",28.580280,77.233829,NO2,36,139,103
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","26-02-2026 19:00:00",28.580280,77.233829,SO2,14,31,19
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","26-02-2026 19:00:00",28.580280,77.233829,CO,17,126,26
